Data Source,World Development Indicators,,,,,,,
Last Updated Date,10/7/25,,,,,,,
Country Name,Country Code,Indicator Name,2019,2020,2021,2022,2023,2024
Serbia,SRB,GDP growth (annual %),4.750207939,-0.950023992,7.949056505,2.630986444,3.847471128,3.878012796
Sub-Saharan Africa (excluding high income),SSA,GDP growth (annual %),2.418589163,-2.397348217,4.244484535,3.653276276,2.343970901,3.195649928
South Sudan,SSD,GDP growth (annual %),,,,,,
Sub-Saharan Africa,SSF,GDP growth (annual %),2.696697023,-1.994293579,4.314825749,3.750658318,2.574661538,3.428437595
Small states,SST,GDP growth (annual %),3.195248759,-6.941072494,6.916227256,7.679198061,4.65816169,6.192074353
Sao Tome and Principe,STP,GDP growth (annual %),2.014316721,2.624859495,1.899298913,0.168698492,0.372252775,0.900000599
Suriname,SUR,GDP growth (annual %),1.167589772,-15.97519171,-2.435385836,2.406222356,2.539566754,2.839586028
Slovak Republic,SVK,GDP growth (annual %),2.2758991,-2.585512417,5.699592633,0.437359509,2.168149116,2.061677718
Slovenia,SVN,GDP growth (annual %),3.505253324,-4.085000949,8.389651582,2.699238745,2.112590985,1.591014799
Sweden,SWE,GDP growth (annual %),2.549647872,-2.005337522,5.937508589,1.4592885,-0.114161935,0.973832213
Eswatini,SWZ,GDP growth (annual %),6.083176451,-2.862882137,3.434968912,1.119590668,3.444478312,2.640704616
Sint Maarten (Dutch part),SXM,GDP growth (annual %),10.96500094,-13.31678872,4.577596779,9.800001111,3.8,3.5
Seychelles,SYC,GDP growth (annual %),5.514292074,-11.73986083,0.552281631,12.71046889,2.259253223,3.465680664
Syrian Arab Republic,SYR,GDP growth (annual %),1.220705221,-0.697154504,1.854215901,0.732781302,-1.207264203,
Turks and Caicos Islands,TCA,GDP growth (annual %),4.981705494,-33.81709734,29.62937817,14.08712342,13.73114811,5.636825174
Chad,TCD,GDP growth (annual %),5.388656469,-0.408894363,0.293979163,12.89661643,4.117451792,3.654451105
East Asia & Pacific (IDA & IBRD countries),TEA,GDP growth (annual %),5.885713247,1.345178138,7.719486073,3.545315885,5.254717635,4.962607116
Europe & Central Asia (IDA & IBRD countries),TEC,GDP growth (annual %),2.698036798,-1.461610846,7.480577145,1.947473937,3.841757011,3.673075862
Togo,TGO,GDP growth (annual %),4.922925917,1.992155019,5.990876104,5.759542515,6.407922156,5.300005314
Thailand,THA,GDP growth (annual %),2.114557796,-6.050038469,1.552166084,2.580378747,2.017750953,2.525961758
Tajikistan,TJK,GDP growth (annual %),7.400000163,4.400001116,9.39999955,8.000000338,8.299999217,8.39999981
Turkmenistan,TKM,GDP growth (annual %),6.300000042,5.900000049,6.200000017,6.199999936,6.300157585,2.264117227
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP growth (annual %),0.678258288,-6.52902364,7.28007816,4.000251756,2.338613193,2.244106075
Timor-Leste,TLS,GDP growth (annual %),23.41201358,31.96191857,5.315538537,-20.54158475,-18.12479096,-2.189121556
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP growth (annual %),1.217942833,-2.793961031,4.449831577,4.179896002,2.892997514,2.161357134
